gene_tip,organism,protein_id
GCF_000092245_1_ASM9224v1_WP_013136674.1,Arcobacter nitrofigilis,WP_013136674.1
GCF_001956695_1_ASM195669v1_WP_076088647.1,Poseidonibacter parvus,WP_076088647.1
GCF_003667345_1_ASM366734v1_WP_121627203.1,Poseidonibacter antarcticus,WP_121627203.1
GCF_013283835_1_ASM1328383v1_WP_071628050.1,Poseidonibacter lekithochrous,WP_071628050.1
GCF_024267655_1_ASM2426765v1_WP_254576447.1,Arcobacter roscoffensis,WP_254576447.1
GCF_004214795_1_ASM421479v1_WP_130234281.1,Malaciobacter pacificus,WP_130234281.1
GCF_013177635_1_ASM1317763v1_WP_228254492.1,Arcobacter aquimarinus,WP_228254492.1
GCF_013201935_1_ASM1320193v1_WP_228711020.1,Arcobacter cloacae,WP_228711020.1
GCF_003544915_1_ASM354491v1_WP_226806003.1,Arcobacter ellisii,WP_226806003.1
GCF_013201725_1_ASM1320172v1_WP_228712348.1,Arcobacter defluvii,WP_228712348.1
GCF_013372265_1_ASM1337226v1_WP_024774608.1,Aliarcobacter cibarius,WP_024774608.1
GCF_013201705_1_ASM1320170v1_WP_026805096.1,Aliarcobacter faecis,WP_026805096.1
GCF_016106035_1_ASM1610603v1_WP_198304569.1,Arcobacter vandammei,WP_198304569.1
GCF_013177675_1_ASM1317767v1_WP_172124453.1,Arcobacter acticola,WP_172124453.1
GCF_013201665_1_ASM1320166v1_WP_228201884.1,Arcobacter venerupis,WP_228201884.1
GCF_003063245_1_ASM306324v1_WP_228156429.1,Arcobacter caeni,WP_228156429.1
GCF_003544815_1_ASM354481v1_WP_226799952.1,Arcobacter suis,WP_226799952.1
GCF_003063295_1_ASM306329v1_WP_226797429.1,Arcobacter lacus,WP_226797429.1
GCF_900187115_1_51699_F01_WP_046996971.1,Aliarcobacter butzleri,WP_046996971.1
GCF_003544835_1_ASM354483v1_WP_066352870.1,Aliarcobacter skirrowii,WP_066352870.1
GCF_004214815_1_ASM421481v1_WP_066182531.1,Aliarcobacter thereius,WP_066182531.1
GCF_004299785_2_ASM429978v2_WP_066386117.1,Arcobacter porcinus,WP_066386117.1
GCF_003316695_1_ASM331669v1_WP_113892374.1,Aliarcobacter vitoriensis,WP_113892374.1
GCF_013201625_1_ASM1320162v1_WP_026807231.1,Aliarcobacter lanthieri,WP_026807231.1
GCF_003355515_1_ASM335551v1_WP_115427642.1,Aliarcobacter trophiarum,WP_115427642.1
GCF_003660105_1_ASM366010v1_WP_105916852.1,Aliarcobacter cryaerophilus,WP_105916852.1
GCF_003346815_1_ASM334681v1_WP_228254305.1,Halarcobacter bivalviorum,WP_228254305.1
GCF_005771535_1_ASM577153v1_WP_420836715.1,Arcobacter arenosus,WP_420836715.1
GCF_006459125_1_ASM645912v1_WP_129082036.1,Halarcobacter anaerophilus,WP_129082036.1
GCF_013201825_1_ASM1320182v1_WP_129087398.1,Halarcobacter ebronensis,WP_129087398.1
GCF_003544935_1_ASM354493v1_WP_228149997.1,Malaciobacter molluscorum,WP_228149997.1
GCF_003346775_1_ASM334677v1_WP_228197865.1,Malaciobacter mytili,WP_228197865.1
GCF_002837275_1_ASM283727v1_WP_228151984.1,Malaciobacter halophilus,WP_228151984.1
GCF_003544855_1_ASM354485v1_WP_228150807.1,Malaciobacter marinus,WP_228150807.1
GCF_003364215_1_ASM336421v1_WP_104725012.1,Helicobacter cholecystus,WP_104725012.1
GCF_003364205_1_ASM336420v1_WP_115569752.1,Helicobacter brantae,WP_115569752.1
GCF_001693335_1_ASM169333v1_WP_066341055.1,Helicobacter enhydrae,WP_066341055.1
GCF_000518225_1_ASM51822v1_WP_420806124.1,Helicobacter pametensis,WP_420806124.1
GCF_021300655_1_ASM2130065v1_WP_233033460.1,Helicobacter kayseriensis,WP_233033460.1
GCF_000763135_2_ASM76313v2_WP_052058099.1,Helicobacter jaachi,WP_052058099.1
GCF_000155475_1_ASM15547v1_WP_172583201.1,Helicobacter cinaedi,WP_172583201.1
GCF_003670275_1_ASM367027v1_WP_208630942.1,Helicobacter labetoulli,WP_208630942.1
GCF_000762845_2_ASM76284v2_WP_138129777.1,Helicobacter japonicus,WP_138129777.1
GCF_003364255_1_ASM336425v1_WP_411710125.1,Helicobacter marmotae,WP_411710125.1
GCF_001602095_1_ASM160209v1_WP_066386882.1,Helicobacter himalayensis,WP_066386882.1
GCF_000765805_2_ASM76580v2_WP_407918752.1,Helicobacter muridarum,WP_407918752.1
GCF_000686565_1_ASM68656v1_WP_372446116.1,Helicobacter bilis,WP_372446116.1
GCF_000765905_2_ASM76590v2_WP_052096598.1,Helicobacter trogontum,WP_052096598.1
GCF_000762875_2_ASM76287v2_WP_118949391.1,Helicobacter saguini,WP_118949391.1
GCF_003364195_1_ASM336419v1_WP_407918836.1,Helicobacter didelphidarum,WP_407918836.1
GCF_000507845_1_Heli_maca_MIT_99-5501_V1_WP_023928016.1,Helicobacter macacae,WP_023928016.1
GCF_008693005_1_ASM869300v1_WP_034578676.1,Helicobacter canis,WP_034578676.1
GCF_003364335_1_ASM336433v1_WP_170126831.1,Helicobacter anseris,WP_170126831.1
GCF_021300615_1_ASM2130061v1_WP_233075497.1,Helicobacter anatolicus,WP_233075497.1
GCF_900476215_1_51342_F02_WP_013022697.1,Helicobacter mustelae,WP_013022697.1
GCF_000259275_1_ASM25927v1_WP_014659738.1,Helicobacter cetorum,WP_014659738.1
