query	grouping_confidence	location_confidence	orientation_confidence
NZ_PDKB01000015.1	1.0	0.03163721694498435	1.0
NZ_PDKB01000045.1	1.0	1.0	1.0
NZ_PDKB01000002.1	1.0	1.0	1.0
NZ_PDKB01000012.1	1.0	0.3439309025622095	0.8627376843235068
NZ_PDKB01000006.1	1.0	1.0	1.0
NZ_PDKB01000019.1	1.0	0.10636583040675855	0.9977540825322194
NZ_PDKB01000018.1	1.0	1.0	1.0
NZ_PDKB01000023.1	1.0	0.04140862940677291	1.0
NZ_PDKB01000016.1	1.0	1.0	1.0
NZ_PDKB01000027.1	1.0	1.0	1.0
NZ_PDKB01000009.1	1.0	1.0	1.0
NZ_PDKB01000024.1	1.0	1.0	1.0
NZ_PDKB01000003.1	1.0	1.0	1.0
NZ_PDKB01000010.1	1.0	1.0	1.0
NZ_PDKB01000021.1	1.0	1.0	1.0
NZ_PDKB01000029.1	1.0	1.0	1.0
NZ_PDKB01000026.1	1.0	1.0	1.0
NZ_PDKB01000052.1	1.0	1.0	1.0
NZ_PDKB01000014.1	1.0	1.0	1.0
NZ_PDKB01000011.1	1.0	1.0	1.0
NZ_PDKB01000013.1	1.0	1.0	1.0
NZ_PDKB01000022.1	1.0	1.0	1.0
NZ_PDKB01000025.1	1.0	1.0	1.0
NZ_PDKB01000001.1	1.0	1.0	1.0
NZ_PDKB01000036.1	1.0	1.0	1.0
NZ_PDKB01000008.1	1.0	1.0	1.0
NZ_PDKB01000020.1	1.0	1.0	1.0
NZ_PDKB01000005.1	1.0	1.0	1.0
NZ_PDKB01000056.1	1.0	1.0	1.0
NZ_PDKB01000017.1	1.0	1.0	1.0
NZ_PDKB01000051.1	1.0	1.0	1.0
NZ_PDKB01000034.1	1.0	1.0	1.0
NZ_PDKB01000004.1	1.0	1.0	1.0
NZ_PDKB01000028.1	1.0	1.0	1.0
NZ_PDKB01000050.1	1.0	1.0	1.0
NZ_PDKB01000047.1	1.0	1.0	1.0
NZ_PDKB01000033.1	1.0	1.0	1.0
NZ_PDKB01000030.1	1.0	1.0	1.0
NZ_PDKB01000007.1	1.0	1.0	1.0
