query	grouping_confidence	location_confidence	orientation_confidence
NZ_NXLU01000006.1	1.0	0.065059380767067	1.0
NZ_NXLU01000002.1	1.0	1.0	1.0
NZ_NXLU01000020.1	1.0	1.0	1.0
NZ_NXLU01000003.1	1.0	1.0	1.0
NZ_NXLU01000034.1	1.0	1.0	1.0
NZ_NXLU01000013.1	1.0	1.0	1.0
NZ_NXLU01000018.1	1.0	1.0	1.0
NZ_NXLU01000025.1	1.0	1.0	1.0
NZ_NXLU01000021.1	1.0	1.0	1.0
NZ_NXLU01000008.1	1.0	1.0	1.0
NZ_NXLU01000009.1	1.0	1.0	1.0
NZ_NXLU01000026.1	1.0	1.0	1.0
NZ_NXLU01000040.1	1.0	1.0	1.0
NZ_NXLU01000011.1	1.0	1.0	1.0
NZ_NXLU01000012.1	1.0	1.0	1.0
NZ_NXLU01000023.1	1.0	1.0	1.0
NZ_NXLU01000004.1	1.0	1.0	1.0
NZ_NXLU01000001.1	1.0	1.0	1.0
NZ_NXLU01000030.1	1.0	1.0	1.0
NZ_NXLU01000005.1	1.0	1.0	1.0
NZ_NXLU01000037.1	1.0	1.0	1.0
NZ_NXLU01000029.1	1.0	1.0	1.0
NZ_NXLU01000015.1	1.0	1.0	1.0
NZ_NXLU01000010.1	1.0	1.0	1.0
NZ_NXLU01000032.1	1.0	1.0	1.0
NZ_NXLU01000007.1	1.0	1.0	1.0
NZ_NXLU01000022.1	1.0	1.0	1.0
