query	grouping_confidence	location_confidence	orientation_confidence
NZ_NXIF01000067.1	1.0	1.0	1.0
NZ_NXIF01000038.1	1.0	1.0	1.0
NZ_NXIF01000063.1	1.0	1.0	1.0
NZ_NXIF01000024.1	1.0	1.0	1.0
NZ_NXIF01000034.1	1.0	1.0	1.0
NZ_NXIF01000086.1	1.0	1.0	1.0
NZ_NXIF01000092.1	1.0	1.0	1.0
NZ_NXIF01000058.1	1.0	1.0	1.0
NZ_NXIF01000053.1	1.0	1.0	1.0
NZ_NXIF01000057.1	1.0	1.0	1.0
NZ_NXIF01000020.1	1.0	1.0	1.0
NZ_NXIF01000021.1	1.0	1.0	1.0
NZ_NXIF01000080.1	1.0	1.0	1.0
NZ_NXIF01000005.1	1.0	1.0	1.0
NZ_NXIF01000037.1	1.0	1.0	1.0
NZ_NXIF01000043.1	1.0	1.0	1.0
NZ_NXIF01000062.1	1.0	1.0	1.0
NZ_NXIF01000085.1	1.0	1.0	1.0
NZ_NXIF01000017.1	1.0	1.0	1.0
NZ_NXIF01000040.1	1.0	1.0	1.0
NZ_NXIF01000029.1	1.0	1.0	1.0
NZ_NXIF01000023.1	1.0	1.0	1.0
NZ_NXIF01000007.1	1.0	1.0	1.0
NZ_NXIF01000030.1	1.0	1.0	1.0
NZ_NXIF01000022.1	1.0	1.0	1.0
NZ_NXIF01000056.1	1.0	1.0	1.0
NZ_NXIF01000004.1	1.0	1.0	1.0
NZ_NXIF01000015.1	1.0	1.0	1.0
NZ_NXIF01000039.1	1.0	1.0	1.0
NZ_NXIF01000074.1	1.0	1.0	1.0
NZ_NXIF01000049.1	1.0	1.0	1.0
NZ_NXIF01000006.1	1.0	1.0	1.0
NZ_NXIF01000011.1	1.0	1.0	1.0
NZ_NXIF01000088.1	1.0	1.0	1.0
NZ_NXIF01000025.1	1.0	1.0	1.0
NZ_NXIF01000055.1	1.0	1.0	1.0
NZ_NXIF01000036.1	1.0	1.0	1.0
NZ_NXIF01000073.1	1.0	1.0	1.0
NZ_NXIF01000028.1	1.0	1.0	1.0
NZ_NXIF01000047.1	1.0	1.0	1.0
NZ_NXIF01000081.1	1.0	1.0	1.0
NZ_NXIF01000095.1	1.0	1.0	1.0
NZ_NXIF01000027.1	1.0	1.0	1.0
NZ_NXIF01000012.1	1.0	1.0	1.0
NZ_NXIF01000087.1	1.0	1.0	1.0
NZ_NXIF01000002.1	1.0	1.0	1.0
NZ_NXIF01000105.1	1.0	1.0	1.0
NZ_NXIF01000108.1	1.0	1.0	1.0
NZ_NXIF01000032.1	1.0	1.0	1.0
NZ_NXIF01000014.1	1.0	1.0	1.0
NZ_NXIF01000035.1	1.0	1.0	1.0
NZ_NXIF01000013.1	1.0	1.0	1.0
NZ_NXIF01000009.1	1.0	1.0	1.0
NZ_NXIF01000019.1	1.0	1.0	1.0
NZ_NXIF01000048.1	1.0	1.0	1.0
NZ_NXIF01000083.1	1.0	1.0	1.0
NZ_NXIF01000010.1	1.0	1.0	1.0
NZ_NXIF01000045.1	1.0	1.0	1.0
NZ_NXIF01000050.1	1.0	1.0	1.0
NZ_NXIF01000071.1	1.0	1.0	1.0
NZ_NXIF01000061.1	1.0	1.0	1.0
NZ_NXIF01000102.1	1.0	1.0	1.0
NZ_NXIF01000018.1	1.0	1.0	1.0
NZ_NXIF01000052.1	1.0	1.0	1.0
NZ_NXIF01000054.1	1.0	1.0	1.0
NZ_NXIF01000031.1	1.0	1.0	1.0
NZ_NXIF01000026.1	1.0	1.0	1.0
NZ_NXIF01000003.1	1.0	1.0	1.0
NZ_NXIF01000008.1	1.0	1.0	1.0
NZ_NXIF01000099.1	1.0	1.0	1.0
NZ_NXIF01000064.1	1.0	1.0	1.0
NZ_NXIF01000033.1	1.0	1.0	1.0
NZ_NXIF01000068.1	1.0	1.0	1.0
NZ_NXIF01000076.1	1.0	1.0	1.0
NZ_NXIF01000096.1	1.0	1.0	1.0
NZ_NXIF01000016.1	1.0	1.0	1.0
NZ_NXIF01000089.1	1.0	1.0	1.0
NZ_NXIF01000093.1	1.0	1.0	1.0
NZ_NXIF01000091.1	1.0	1.0	1.0
NZ_NXIF01000051.1	1.0	1.0	1.0
NZ_NXIF01000044.1	1.0	1.0	1.0
NZ_NXIF01000060.1	1.0	1.0	1.0
NZ_NXIF01000046.1	1.0	1.0	1.0
NZ_NXIF01000041.1	1.0	0.03153187587354966	1.0
