query	grouping_confidence	location_confidence	orientation_confidence
NZ_JAERIT010000016.1	1.0	1.0	1.0
NZ_JAERIT010000003.1	1.0	1.0	1.0
NZ_JAERIT010000009.1	1.0	0.1302405996212939	0.8109059259819874
NZ_JAERIT010000011.1	1.0	1.0	1.0
NZ_JAERIT010000012.1	1.0	1.0	1.0
NZ_JAERIT010000006.1	1.0	1.0	1.0
NZ_JAERIT010000007.1	1.0	1.0	1.0
NZ_JAERIT010000004.1	1.0	1.0	1.0
NZ_JAERIT010000017.1	1.0	1.0	1.0
NZ_JAERIT010000014.1	1.0	0.036574910394265234	0.8940065069969817
NZ_JAERIT010000005.1	1.0	1.0	1.0
NZ_JAERIT010000002.1	1.0	1.0	1.0
NZ_JAERIT010000019.1	1.0	1.0	1.0
NZ_JAERIT010000013.1	1.0	1.0	1.0
NZ_JAERIT010000008.1	1.0	1.0	1.0
NZ_JAERIT010000001.1	1.0	0.1688933989536214	1.0
