query	grouping_confidence	location_confidence	orientation_confidence
NZ_BBQE01000009.1	1.0	1.0	1.0
NZ_BBQE01000016.1	1.0	1.0	1.0
NZ_BBQE01000007.1	1.0	1.0	1.0
NZ_BBQE01000003.1	1.0	0.9563325809176458	1.0
NZ_BBQE01000014.1	1.0	0.11424021792470782	1.0
NZ_BBQE01000015.1	1.0	1.0	1.0
NZ_BBQE01000011.1	1.0	1.0	1.0
NZ_BBQE01000001.1	1.0	1.0	1.0
NZ_BBQE01000012.1	1.0	1.0	1.0
NZ_BBQE01000004.1	1.0	1.0	1.0
NZ_BBQE01000017.1	1.0	1.0	1.0
NZ_BBQE01000002.1	1.0	1.0	1.0
NZ_BBQE01000006.1	1.0	1.0	1.0
NZ_BBQE01000013.1	1.0	1.0	1.0
NZ_BBQE01000005.1	1.0	0.08047448373191751	1.0
