query	grouping_confidence	location_confidence	orientation_confidence
NZ_VXKE01000001.1	1.0	1.0	1.0
NZ_VXKE01000003.1	1.0	1.0	1.0
NZ_VXKE01000004.1	1.0	1.0	1.0
NZ_VXKE01000005.1	1.0	1.0	1.0
NZ_VXKE01000006.1	1.0	1.0	1.0
NZ_VXKE01000007.1	1.0	1.0	1.0
NZ_VXKE01000008.1	1.0	1.0	1.0
NZ_VXKE01000010.1	1.0	1.0	1.0
NZ_VXKE01000012.1	1.0	1.0	1.0
NZ_VXKE01000014.1	1.0	1.0	1.0
NZ_VXKE01000016.1	1.0	1.0	1.0
NZ_VXKE01000018.1	1.0	1.0	1.0
NZ_VXKE01000019.1	1.0	1.0	1.0
NZ_VXKE01000021.1	1.0	1.0	1.0
NZ_VXKE01000022.1	1.0	1.0	1.0
NZ_VXKE01000023.1	1.0	1.0	1.0
