query	grouping_confidence	location_confidence	orientation_confidence
NZ_JRMP02000002.1	1.0	1.0	0.9988657488923649
NZ_JRMP02000015.1	1.0	1.0	1.0
NZ_JRMP02000037.1	1.0	1.0	1.0
NZ_JRMP02000020.1	1.0	1.0	1.0
NZ_JRMP02000025.1	1.0	1.0	1.0
NZ_JRMP02000018.1	1.0	1.0	1.0
NZ_JRMP02000045.1	1.0	1.0	1.0
NZ_JRMP02000024.1	1.0	1.0	1.0
NZ_JRMP02000053.1	1.0	1.0	1.0
NZ_JRMP02000006.1	1.0	1.0	1.0
NZ_JRMP02000005.1	1.0	1.0	1.0
NZ_JRMP02000027.1	1.0	1.0	1.0
NZ_JRMP02000021.1	1.0	1.0	1.0
NZ_JRMP02000016.1	1.0	1.0	1.0
NZ_JRMP02000003.1	1.0	1.0	1.0
NZ_JRMP02000031.1	1.0	1.0	1.0
NZ_JRMP02000039.1	1.0	1.0	1.0
NZ_JRMP02000029.1	1.0	1.0	1.0
NZ_JRMP02000012.1	1.0	1.0	1.0
NZ_JRMP02000030.1	1.0	1.0	1.0
NZ_JRMP02000047.1	1.0	1.0	1.0
NZ_JRMP02000060.1	1.0	1.0	1.0
NZ_JRMP02000067.1	1.0	1.0	1.0
NZ_JRMP02000056.1	1.0	1.0	1.0
NZ_JRMP02000001.1	1.0	1.0	1.0
NZ_JRMP02000033.1	1.0	1.0	1.0
NZ_JRMP02000065.1	1.0	1.0	1.0
NZ_JRMP02000032.1	1.0	1.0	1.0
NZ_JRMP02000023.1	1.0	1.0	1.0
NZ_JRMP02000038.1	1.0	1.0	1.0
NZ_JRMP02000026.1	1.0	1.0	1.0
NZ_JRMP02000007.1	1.0	1.0	1.0
NZ_JRMP02000013.1	1.0	1.0	1.0
NZ_JRMP02000022.1	1.0	1.0	1.0
NZ_JRMP02000010.1	1.0	1.0	1.0
NZ_JRMP02000011.1	1.0	1.0	1.0
NZ_JRMP02000034.1	1.0	1.0	1.0
NZ_JRMP02000009.1	1.0	1.0	1.0
NZ_JRMP02000014.1	1.0	1.0	1.0
NZ_JRMP02000042.1	1.0	1.0	1.0
NZ_JRMP02000004.1	1.0	1.0	1.0
NZ_JRMP02000028.1	1.0	1.0	1.0
NZ_JRMP02000050.1	1.0	1.0	1.0
NZ_JRMP02000017.1	1.0	1.0	1.0
NZ_JRMP02000061.1	1.0	1.0	1.0
NZ_JRMP02000019.1	1.0	1.0	1.0
NZ_JRMP02000036.1	1.0	1.0	1.0
NZ_JRMP02000040.1	1.0	1.0	1.0
NZ_JRMP02000041.1	1.0	1.0	1.0
NZ_JRMP02000008.1	1.0	1.0	1.0
