query	grouping_confidence	location_confidence	orientation_confidence
NZ_AINS01000087.1	1.0	1.0	1.0
NZ_AINS01000137.1	1.0	1.0	1.0
NZ_AINS01000057.1	1.0	1.0	1.0
NZ_AINS01000100.1	1.0	1.0	1.0
NZ_AINS01000031.1	1.0	1.0	1.0
NZ_AINS01000126.1	1.0	1.0	1.0
NZ_AINS01000043.1	1.0	1.0	1.0
NZ_AINS01000056.1	1.0	1.0	1.0
NZ_AINS01000064.1	1.0	1.0	1.0
NZ_AINS01000085.1	1.0	1.0	1.0
NZ_AINS01000055.1	1.0	1.0	1.0
NZ_AINS01000053.1	1.0	1.0	1.0
NZ_AINS01000059.1	1.0	1.0	1.0
NZ_AINS01000039.1	1.0	1.0	1.0
NZ_AINS01000023.1	1.0	1.0	1.0
NZ_AINS01000104.1	1.0	1.0	1.0
NZ_AINS01000033.1	1.0	1.0	1.0
NZ_AINS01000112.1	1.0	1.0	1.0
NZ_AINS01000027.1	1.0	1.0	1.0
NZ_AINS01000003.1	1.0	1.0	1.0
NZ_AINS01000028.1	1.0	1.0	1.0
NZ_AINS01000012.1	1.0	1.0	1.0
NZ_AINS01000093.1	1.0	1.0	1.0
NZ_AINS01000103.1	1.0	1.0	1.0
NZ_AINS01000115.1	1.0	1.0	1.0
NZ_AINS01000063.1	1.0	1.0	1.0
NZ_AINS01000134.1	1.0	1.0	1.0
NZ_AINS01000171.1	1.0	1.0	1.0
NZ_AINS01000016.1	1.0	1.0	1.0
NZ_AINS01000088.1	1.0	1.0	1.0
NZ_AINS01000037.1	1.0	1.0	1.0
NZ_AINS01000030.1	1.0	1.0	1.0
NZ_AINS01000184.1	1.0	1.0	1.0
NZ_AINS01000111.1	1.0	1.0	1.0
NZ_AINS01000015.1	1.0	1.0	1.0
NZ_AINS01000099.1	1.0	1.0	1.0
NZ_AINS01000072.1	1.0	1.0	1.0
NZ_AINS01000116.1	1.0	1.0	1.0
NZ_AINS01000113.1	1.0	1.0	1.0
NZ_AINS01000097.1	1.0	1.0	1.0
NZ_AINS01000121.1	1.0	1.0	1.0
NZ_AINS01000168.1	1.0	1.0	1.0
NZ_AINS01000110.1	1.0	1.0	1.0
NZ_AINS01000108.1	1.0	1.0	1.0
NZ_AINS01000079.1	0.9753663198131238	1.0	1.0
NZ_AINS01000158.1	1.0	1.0	1.0
NZ_AINS01000004.1	1.0	1.0	1.0
NZ_AINS01000176.1	1.0	1.0	1.0
NZ_AINS01000101.1	1.0	1.0	1.0
NZ_AINS01000051.1	1.0	1.0	1.0
NZ_AINS01000091.1	1.0	1.0	1.0
NZ_AINS01000050.1	1.0	1.0	1.0
NZ_AINS01000080.1	1.0	1.0	1.0
NZ_AINS01000075.1	1.0	1.0	1.0
NZ_AINS01000011.1	1.0	1.0	1.0
NZ_AINS01000047.1	1.0	1.0	1.0
NZ_AINS01000006.1	1.0	1.0	1.0
NZ_AINS01000152.1	1.0	1.0	1.0
NZ_AINS01000021.1	1.0	1.0	1.0
NZ_AINS01000041.1	1.0	1.0	1.0
NZ_AINS01000081.1	1.0	1.0	1.0
NZ_AINS01000084.1	1.0	1.0	1.0
NZ_AINS01000151.1	1.0	1.0	1.0
NZ_AINS01000144.1	1.0	1.0	1.0
NZ_AINS01000017.1	1.0	1.0	1.0
NZ_AINS01000066.1	1.0	1.0	1.0
NZ_AINS01000054.1	1.0	1.0	1.0
NZ_AINS01000122.1	1.0	1.0	1.0
NZ_AINS01000164.1	1.0	1.0	1.0
NZ_AINS01000062.1	1.0	1.0	1.0
NZ_AINS01000025.1	1.0	1.0	1.0
NZ_AINS01000146.1	1.0	1.0	1.0
NZ_AINS01000180.1	1.0	1.0	1.0
NZ_AINS01000185.1	1.0	1.0	1.0
NZ_AINS01000090.1	1.0	1.0	1.0
NZ_AINS01000160.1	1.0	1.0	1.0
NZ_AINS01000148.1	1.0	1.0	1.0
NZ_AINS01000147.1	1.0	1.0	1.0
NZ_AINS01000162.1	1.0	1.0	1.0
NZ_AINS01000174.1	1.0	1.0	1.0
NZ_AINS01000136.1	1.0	1.0	1.0
NZ_AINS01000127.1	1.0	1.0	1.0
NZ_AINS01000156.1	1.0	1.0	1.0
NZ_AINS01000001.1	1.0	1.0	1.0
NZ_AINS01000040.1	1.0	1.0	1.0
NZ_AINS01000005.1	1.0	1.0	1.0
NZ_AINS01000036.1	1.0	1.0	1.0
NZ_AINS01000008.1	1.0	1.0	1.0
NZ_AINS01000019.1	1.0	1.0	1.0
NZ_AINS01000044.1	1.0	1.0	1.0
NZ_AINS01000013.1	1.0	1.0	1.0
NZ_AINS01000058.1	1.0	1.0	1.0
NZ_AINS01000022.1	1.0	1.0	1.0
NZ_AINS01000172.1	1.0	1.0	1.0
NZ_AINS01000052.1	1.0	1.0	1.0
NZ_AINS01000009.1	1.0	0.04567003393766619	1.0
NZ_AINS01000024.1	1.0	1.0	1.0
NZ_AINS01000067.1	1.0	1.0	1.0
NZ_AINS01000026.1	1.0	1.0	1.0
NZ_AINS01000135.1	1.0	1.0	1.0
NZ_AINS01000029.1	1.0	1.0	1.0
NZ_AINS01000070.1	1.0	1.0	1.0
NZ_AINS01000096.1	1.0	1.0	1.0
NZ_AINS01000177.1	1.0	1.0	1.0
NZ_AINS01000002.1	1.0	1.0	1.0
NZ_AINS01000117.1	1.0	1.0	1.0
NZ_AINS01000107.1	1.0	1.0	1.0
NZ_AINS01000131.1	1.0	1.0	1.0
NZ_AINS01000068.1	1.0	1.0	1.0
NZ_AINS01000095.1	1.0	1.0	1.0
