query	grouping_confidence	location_confidence	orientation_confidence
NZ_WUED01000001.1	1.0	1.0	1.0
NZ_WUED01000003.1	1.0	1.0	1.0
NZ_WUED01000021.1	1.0	1.0	1.0
NZ_WUED01000010.1	1.0	1.0	1.0
NZ_WUED01000013.1	1.0	1.0	1.0
NZ_WUED01000032.1	1.0	1.0	1.0
NZ_WUED01000004.1	1.0	1.0	1.0
NZ_WUED01000030.1	1.0	1.0	1.0
NZ_WUED01000027.1	1.0	1.0	1.0
NZ_WUED01000019.1	1.0	1.0	1.0
NZ_WUED01000005.1	1.0	1.0	1.0
NZ_WUED01000008.1	1.0	1.0	1.0
NZ_WUED01000029.1	1.0	1.0	1.0
NZ_WUED01000006.1	1.0	1.0	1.0
NZ_WUED01000022.1	1.0	1.0	1.0
NZ_WUED01000002.1	1.0	1.0	1.0
NZ_WUED01000016.1	1.0	1.0	1.0
NZ_WUED01000035.1	1.0	1.0	1.0
NZ_WUED01000031.1	1.0	1.0	1.0
NZ_WUED01000034.1	1.0	1.0	1.0
NZ_WUED01000017.1	1.0	1.0	1.0
NZ_WUED01000012.1	1.0	1.0	1.0
NZ_WUED01000020.1	1.0	1.0	1.0
NZ_WUED01000014.1	1.0	1.0	1.0
NZ_WUED01000024.1	1.0	1.0	1.0
NZ_WUED01000026.1	1.0	1.0	1.0
NZ_WUED01000018.1	1.0	1.0	1.0
NZ_WUED01000009.1	1.0	1.0	1.0
NZ_WUED01000007.1	1.0	1.0	1.0
NZ_WUED01000015.1	1.0	1.0	1.0
NZ_WUED01000011.1	1.0	1.0	1.0
NZ_WUED01000040.1	1.0	1.0	1.0
